Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,Height (Inches),height_scaled,weight_scaled,DBSCAN Results,IsolationForest Results,Height-Weight PCA,PCA Z-Score Results
Glenn Robinson III,PHI,26,6-6,222,Michigan,USA,2014,2,40,62,11.7,4.4,1.5,-7.8,4.3%,10.6%,16.0%,57.7%,8.1%,78,-0.09466856814806733,0.1976836723094696,Core Data,Core Data,0.0728426787171646,Core Data
Goga Bitadze,IND,20,6-11,250,None,Georgia,2019,1,18,54,3.2,2.0,0.4,-1.4,5.2%,14.6%,17.0%,52.3%,6.6%,83,1.369649342680253,1.3568644142919948,Core Data,Core Data,1.9279363665534852,Core Data
Goran Dragic,MIA,34,6-3,190,None,Slovenia,2008,2,45,59,16.2,3.2,5.1,3.5,1.7%,9.0%,24.8%,57.3%,29.7%,75,-0.9732593146450594,-1.127094318527702,Core Data,Core Data,-1.4851742969062633,Core Data
Gordon Hayward,BOS,30,6-7,225,Butler,USA,2010,1,9,52,17.5,6.7,4.1,8.5,3.1%,15.9%,20.6%,59.5%,17.8%,79,0.1981950140175967,0.3218816089504544,Core Data,Core Data,0.36774970683730684,Core Data
Gorgui Dieng,MEM,30,6-10,252,Louisville,Senegal,2013,1,21,63,7.4,5.6,1.2,-3.6,7.4%,22.1%,17.5%,56.8%,10.7%,82,1.0767857605145887,1.439663038719318,Core Data,Core Data,1.7793980104470388,Core Data
Grant Williams,BOS,21,6-6,236,Tennessee,USA,2019,1,22,69,3.4,2.6,1.0,6.3,5.3%,10.6%,11.2%,50.5%,8.5%,78,-0.09466856814806733,0.7772740433007321,Core Data,Core Data,0.48267496035551316,Core Data
Grayson Allen,MEM,24,6-4,198,Duke,USA,2018,1,21,38,8.7,2.2,1.4,-6.0,1.0%,10.3%,17.1%,60.9%,10.4%,76,-0.6803957324793954,-0.7958998208184092,Core Data,Core Data,-1.0438985967724252,Core Data
Hamidou Diallo,OKC,21,6-5,202,Kentucky,USA,2018,2,45,46,6.9,3.6,0.8,0.9,4.6%,12.4%,17.3%,49.1%,6.0%,77,-0.3875321503137314,-0.6303025719637627,Core Data,Core Data,-0.7197178342495438,Core Data
Harrison Barnes,SAC,28,6-8,225,North Carolina,USA,2012,1,7,72,14.5,4.9,2.2,-2.5,3.0%,11.1%,17.2%,57.4%,9.2%,80,0.49105859618326075,0.3218816089504544,Core Data,Core Data,0.5748355317492315,Core Data
Harry Giles III,SAC,22,6-11,240,Duke,USA,2017,1,20,46,6.9,4.1,1.3,-8.2,6.5%,24.1%,20.6%,58.0%,13.5%,83,1.369649342680253,0.9428712921553787,Core Data,Core Data,1.6351990225260935,Core Data
Hassan Whiteside,POR,31,7-0,265,Marshall,USA,2010,2,33,67,15.5,13.5,1.2,2.7,12.3%,29.4%,19.2%,64.4%,5.8%,84,1.662512924845917,1.977854097496919,Core Data,Core Data,2.5741282075064977,Core Data
Henry Ellenson,BKN,23,6-10,240,Marquette,USA,2016,1,18,5,0.4,1.2,0.2,27.3,11.1%,19.0%,15.9%,14.3%,12.5%,82,1.0767857605145887,0.9428712921553787,Core Data,Core Data,1.4281131976141688,Core Data
Ian Mahinmi,WAS,33,6-11,262,None,France,2005,1,28,38,7.4,5.7,1.3,-4.5,8.9%,17.6%,15.4%,54.5%,8.4%,83,1.369649342680253,1.853656160855934,Core Data,Core Data,2.2792211793863557,Core Data
Ignas Brazdeikis,NYK,21,6-6,221,Michigan,Lithuania,2019,2,47,9,1.9,0.6,0.4,-7.1,3.6%,6.8%,21.8%,35.1%,11.4%,78,-0.09466856814806733,0.15628436009580796,Core Data,Core Data,0.043568944314425394,Core Data
Iman Shumpert,BKN,30,6-5,212,Georgia Tech,USA,2011,1,17,13,4.2,2.6,0.9,-9.0,3.5%,9.2%,13.4%,40.3%,7.8%,77,-0.3875321503137314,-0.21630944982714656,Core Data,Core Data,-0.42698049022215195,Core Data
Isaac Bonga,WAS,20,6-8,180,None,Germany,2018,2,39,66,5.0,3.4,1.2,-0.4,5.2%,12.1%,10.6%,60.8%,8.1%,80,0.49105859618326075,-1.5410874406643182,Core Data,Core Data,-0.7424825163740317,Core Data
