skaterFullName,year_season_start,season_number,goals,gamesPlayed
Pierre Turgeon,2005,15,16,62
Pierre Turgeon,2006,16,4,17
Ray Whitney,1991,1,0,2
Ray Whitney,1992,2,4,26
Ray Whitney,1993,3,14,61
Ray Whitney,1994,4,13,39
Ray Whitney,1995,5,17,60
Ray Whitney,1996,6,0,12
Ray Whitney,1997,7,33,77
Ray Whitney,1998,8,26,81
Ray Whitney,1999,9,29,81
Ray Whitney,2000,10,10,46
Ray Whitney,2001,11,21,67
Ray Whitney,2002,12,24,81
Ray Whitney,2003,13,14,67
Ray Whitney,2005,14,17,63
Ray Whitney,2006,15,32,81
Ray Whitney,2007,16,25,66
Ray Whitney,2008,17,24,82
Ray Whitney,2009,18,21,80
Ray Whitney,2010,19,17,75
Ray Whitney,2011,20,24,82
Ray Whitney,2012,21,11,32
Ray Whitney,2013,22,9,69
Rick Nash,2002,1,17,74
Rick Nash,2003,2,41,80
Rick Nash,2005,3,31,54
Rick Nash,2006,4,27,75
Rick Nash,2007,5,38,80
Rick Nash,2008,6,40,78
Rick Nash,2009,7,33,76
Rick Nash,2010,8,32,75
Rick Nash,2011,9,30,82
Rick Nash,2012,10,21,44
Rick Nash,2013,11,26,65
Rick Nash,2014,12,42,79
Rick Nash,2015,13,15,60
Rick Nash,2016,14,23,67
Rick Nash,2017,15,21,71
Rod Brind'Amour,1990,1,17,78
Rod Brind'Amour,1991,2,33,80
Rod Brind'Amour,1992,3,37,81
Rod Brind'Amour,1993,4,35,84
Rod Brind'Amour,1994,5,12,48
Rod Brind'Amour,1995,6,26,82
Rod Brind'Amour,1996,7,27,82
Rod Brind'Amour,1997,8,36,82
Rod Brind'Amour,1998,9,24,82
Rod Brind'Amour,1999,10,9,45
Rod Brind'Amour,2000,11,20,79
Rod Brind'Amour,2001,12,23,81
Rod Brind'Amour,2002,13,14,48
Rod Brind'Amour,2005,14,31,78
Rod Brind'Amour,2006,15,26,78
Rod Brind'Amour,2007,16,19,59
Rod Brind'Amour,2008,17,16,80
Rod Brind'Amour,2009,18,9,80
Ryan Smyth,1994,1,0,3
Ryan Smyth,1995,2,2,48
Ryan Smyth,1996,3,39,82
Ryan Smyth,1997,4,20,65
Ryan Smyth,1998,5,13,71
Ryan Smyth,1999,6,28,82
Ryan Smyth,2000,7,31,82
Ryan Smyth,2001,8,15,61
Ryan Smyth,2002,9,27,66
Ryan Smyth,2003,10,23,82
Ryan Smyth,2005,11,36,75
Ryan Smyth,2006,12,36,71
Ryan Smyth,2007,13,14,55
Ryan Smyth,2008,14,26,77
Ryan Smyth,2009,15,22,67
Ryan Smyth,2010,16,23,82
Ryan Smyth,2011,17,19,82
Ryan Smyth,2012,18,2,47
Ryan Smyth,2013,19,10,72
Sergei Fedorov,1990,1,31,77
Sergei Fedorov,1991,2,32,80
Sergei Fedorov,1992,3,34,73
Sergei Fedorov,1993,4,56,82
Sergei Fedorov,1994,5,20,42
Sergei Fedorov,1995,6,39,78
Sergei Fedorov,1996,7,30,74
Sergei Fedorov,1997,8,6,21
Sergei Fedorov,1998,9,26,77
Sergei Fedorov,1999,10,27,68
Sergei Fedorov,2000,11,32,75
Sergei Fedorov,2001,12,31,81
Sergei Fedorov,2002,13,36,80
Sergei Fedorov,2003,14,31,80
Sergei Fedorov,2005,15,12,67
Sergei Fedorov,2006,16,18,73
Sergei Fedorov,2007,17,11,68
Sergei Fedorov,2008,18,11,52
Sidney Crosby,2005,1,39,81
Sidney Crosby,2006,2,36,79
Sidney Crosby,2007,3,24,53
Sidney Crosby,2008,4,33,77
Sidney Crosby,2009,5,51,81
Sidney Crosby,2010,6,32,41
Sidney Crosby,2011,7,8,22
Sidney Crosby,2012,8,15,36
Sidney Crosby,2013,9,36,80
Sidney Crosby,2014,10,28,77
Sidney Crosby,2015,11,36,80
Sidney Crosby,2016,12,44,75
Sidney Crosby,2017,13,29,82
Sidney Crosby,2018,14,35,79
Sidney Crosby,2019,15,16,41
Steve Yzerman,1990,1,51,80
Steve Yzerman,1991,2,45,79
Steve Yzerman,1992,3,58,84
Steve Yzerman,1993,4,24,58
Steve Yzerman,1994,5,12,47
Steve Yzerman,1995,6,36,80
Steve Yzerman,1996,7,22,81
Steve Yzerman,1997,8,24,75
Steve Yzerman,1998,9,29,80
Steve Yzerman,1999,10,35,78
Steve Yzerman,2000,11,18,54
Steve Yzerman,2001,12,13,52
Steve Yzerman,2002,13,2,16
Steve Yzerman,2003,14,18,75
Steve Yzerman,2005,15,14,61
Steven Stamkos,2008,1,23,79
Steven Stamkos,2009,2,51,82
Steven Stamkos,2010,3,45,82
Steven Stamkos,2011,4,60,82
Steven Stamkos,2012,5,29,48
Steven Stamkos,2013,6,25,37
